liga,temporada,posicao,time,partidas,vitorias,empates,derrotas,gols pro,gols contra,pontos
La_liga,2014,1,Barcelona,38,30,4,4,110,21,94
La_liga,2014,2,Real Madrid,38,30,2,6,118,38,92
La_liga,2014,3,Atletico Madrid,38,23,9,6,67,29,78
La_liga,2014,4,Valencia,38,22,11,5,70,32,77
La_liga,2014,5,Sevilla,38,23,7,8,71,45,76
La_liga,2014,6,Villarreal,38,16,12,10,48,37,60
La_liga,2014,7,Athletic Club,38,15,10,13,42,41,55
La_liga,2014,8,Celta Vigo,38,13,12,13,47,44,51
La_liga,2014,9,Malaga,38,14,8,16,42,48,50
La_liga,2014,10,Rayo Vallecano,38,15,4,19,46,68,49
La_liga,2014,11,Espanyol,38,13,10,15,47,51,49
La_liga,2014,12,Real Sociedad,38,11,13,14,44,51,46
La_liga,2014,13,Elche,38,11,8,19,35,62,41
La_liga,2014,14,Getafe,38,10,7,21,33,64,37
La_liga,2014,15,Levante,38,9,10,19,34,67,37
La_liga,2014,16,Deportivo La Coruna,38,7,14,17,35,60,35
La_liga,2014,17,Granada,38,7,14,17,29,64,35
La_liga,2014,18,Eibar,38,9,8,21,34,55,35
La_liga,2014,19,Almeria,38,8,8,22,35,64,32
La_liga,2014,20,Cordoba,38,3,11,24,22,68,20
